"2939965664","1","Approved","0","","057225","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12458","","","","","","","","","","","","","","","","","","",""
"2939965713","1","Approved","Y","","031377","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12472","","","","","","","","","","","","","","","","","","",""
"2939965756","1","Approved","N","","053110","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12484","","","","","","","","","","","","","","","","","","",""
"2939965795","1","Approved","R","","094402","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12489","","","","","","","","","","","","","","","","","","",""
"2939965853","1","Approved","Y","","000175","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12498","","","","","","","","","","","","","","","","","","",""
"2939965917","1","Approved","0","","093110","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12504","","","","","","","","","","","","","","","","","","",""
"2939965955","1","Approved","Y","","133610","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12510","","","","","","","","","","","","","","","","","","",""
"2939965671","1","Approved","Y","","143919","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12527","","","","","","","","","","","","","","","","","","",""
"2939965718","1","Approved","0","","043110","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12584","","","","","","","","","","","","","","","","","","",""
"2939965755","1","Approved","Y","","180543","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12657","","","","","","","","","","","","","","","","","","",""
"0","3","Duplicate transaction REFID:3051333088","","","","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","300","","creditcard","12682","","","","","","","","","","","","","","","","","","",""
"2939965800","1","Approved","Y","","103616","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12688","","","","","","","","","","","","","","","","","","",""
"2939965850","1","Approved","Y","","602505","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12700","","","","","","","","","","","","","","","","","","",""
"2939965902","1","Approved","0","","173310","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12728","","","","","","","","","","","","","","","","","","",""
"2939965667","1","Approved","Y","","033110","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12732","","","","","","","","","","","","","","","","","","",""
"2939965714","1","Approved","N","","143519","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12786","","","","","","","","","","","","","","","","","","",""
"2939965768","1","Approved","0","","43620P","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12799","","","","","","","","","","","","","","","","","","",""
"2939965803","1","Approved","Y","","161314","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12818","","","","","","","","","","","","","","","","","","",""
"2939965845","1","Approved","Y","","740337","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12835","","","","","","","","","","","","","","","","","","",""
"2939965899","1","Approved","Y","","03185R","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sale","100","burbankpalm","creditcard","12840","","","","","","","","","","","","","","","","","","",""
